model,MAE,RMSE,R2,train_time_s,inference_time_s,inference_time_per_sample_s,n_features,removed_low_variance_columns,params_json,search_strategy,selected_by,n_configs_evaluated,search_time_s
LightGBM,41.99179767335109,56.67389429106692,0.5917240578281109,0.8744576999961282,0.06939559999591438,5.804734420402709e-06,25,,"{""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 15}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.99047422475055,56.676418398578704,0.5916876899259569,0.5416689999983646,0.04082880000350997,3.4152070266424065e-06,25,,"{""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.70006590667416,56.691938427757556,0.5914640382981136,1.10092540000187,0.08087260000320384,6.7647511504143745e-06,25,,"{""learning_rate"": 0.05, ""min_child_samples"": 10, ""n_estimators"": 500, ""num_leaves"": 31}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,42.381540357206106,56.77586783971782,0.5902535111966853,0.6533310000013444,0.04599959999904968,3.847728983609341e-06,25,,"{""learning_rate"": 0.03, ""min_child_samples"": 10, ""n_estimators"": 300, ""num_leaves"": 15}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.3944887832856,56.789997906441684,0.5900495348980568,1.381791300002078,0.09945850000076462,8.31940610629566e-06,25,,"{""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 63}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.529401840722976,56.83056045300404,0.5894637073232746,1.3878707999974722,0.09458090000407537,7.91140945245298e-06,25,,"{""learning_rate"": 0.05, ""min_child_samples"": 10, ""n_estimators"": 500, ""num_leaves"": 63}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.743265612954715,56.948147055187384,0.5877630903270108,0.7515807000017958,0.05716199999733362,4.781430363641458e-06,25,,"{""learning_rate"": 0.1, ""min_child_samples"": 10, ""n_estimators"": 500, ""num_leaves"": 15}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.65528806482398,57.06741363292989,0.586034585633568,0.9827774000004865,0.0688668000002508,5.760501882078695e-06,25,,"{""learning_rate"": 0.1, ""min_child_samples"": 10, ""n_estimators"": 500, ""num_leaves"": 31}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.71394112017544,57.31404857931676,0.5824486876068093,1.3080656999954954,0.08584780000091996,7.180911752481804e-06,25,,"{""learning_rate"": 0.1, ""min_child_samples"": 10, ""n_estimators"": 500, ""num_leaves"": 63}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.73231111599204,57.43749529965083,0.5806480522576813,1.268988999996509,0.09326829999918118,7.801614387217163e-06,25,,"{""learning_rate"": 0.1, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 63}",limited_random_search,RMSE_validation,20,21.636170600002515
